"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"189",8,"Nicholas Singleton",TEN,"RB61","9","3 out of 5","4 out of 5","3 out of 5 stars","+40","-","-"
"190",8,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-65","+3.8","68% (11/16)"
"191",8,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-76","+0.8","56% (9/16)"
"192",8,"Sean Tucker",TB,"RB62","10","3 out of 5","4 out of 5","2 out of 5 stars","+60","+1.4","43% (7/16)"
"193",8,"Jaylin Noel",HOU,"WR74","8","4 out of 5","3 out of 5","3 out of 5 stars","+114","+0.6","37% (6/16)"
"194",8,"Jacksonville Jaguars",JAC,"DST5","7","-","-","3 out of 5 stars","-6","+1.9","81% (13/16)"
"195",8,"Travis Hunter",JAC,"WR75","7","3 out of 5","4 out of 5","4 out of 5 stars","-9","-","-"
"196",8,"Jaydon Blue",DAL,"RB63","14","4 out of 5","4 out of 5","4 out of 5 stars","-7","-3.3","0% (0/4)"
"197",8,"Philadelphia Eagles",PHI,"DST6","10","-","-","0 out of 5 stars","-60","+1.1","50% (8/16)"
"198",8,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-29","+0.8","43% (7/16)"
"199",8,"Pittsburgh Steelers",PIT,"DST8","9","-","-","5 out of 5 stars","-6","+0.7","50% (8/16)"
"200",8,"Rashod Bateman",BAL,"WR76","13","3 out of 5","4 out of 5","4 out of 5 stars","-","-2.5","23% (3/13)"
"201",8,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","3 out of 5","2 out of 5 stars","-6","+0.9","37% (6/16)"
"202",8,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-86","+3.1","68% (11/16)"
"203",8,"Geno Smith",NYJ,"QB28","13","2 out of 5","4 out of 5","4 out of 5 stars","+34","-1.5","40% (6/15)"
"204",8,"Los Angeles Chargers",LAC,"DST9","7","-","-","3 out of 5 stars","-10","-0.4","37% (6/16)"
"205",8,"Aaron Rodgers",PIT,"QB29","9","2 out of 5","4 out of 5","2 out of 5 stars","-28","-0.5","53% (8/15)"
