RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
79,Jacksonville Jaguars   JAC,DST,17,11.0,8.0,12.0,15.0,7.0,2.0,-4.0,BYE,3.0,11.0,12.0,7.0,14.0,10.0,10.0,6.0,7.0,13.0,8.5,144.0
79,Tyler Loop   BAL,K,17,13.0,12.0,7.0,9.0,4.0,3.0,BYE,13.0,4.0,14.0,12.0,11.0,2.0,10.0,6.0,6.0,11.0,7.0,8.5,144.0
81,Quinshon Judkins   CLE,RB,14,,7.1,15.5,17.5,12.8,3.6,26.4,1.7,BYE,8.5,5.9,16.7,12.9,8.4,1.7,5.1,,,10.3,143.8
82,Justin Fields   NYJ,QB,9,29.5,4.0,,27.1,25.9,4.9,4.0,20.9,BYE,8.0,19.3,,,,,,,,16.0,143.7
83,Denver Broncos   DEN,DST,17,14.0,0.0,9.0,10.0,7.0,13.0,5.0,6.0,5.0,14.0,8.0,BYE,4.0,11.0,7.0,4.0,5.0,21.0,8.4,143.0
84,David Montgomery   DET,RB,17,4.3,12.1,28.4,1.2,17.2,6.1,3.9,BYE,9.0,9.1,3.7,3.7,10.8,13.3,9.2,1.4,4.0,5.5,8.4,142.9
85,Michael Wilson   ARI,WR,17,0.5,7.1,0.5,1.5,1.6,4.4,4.0,BYE,6.1,3.4,18.5,11.8,3.6,26.2,11.4,11.2,14.9,15.9,8.4,142.6
86,A.J. Brown   PHI,WR,15,0.8,2.7,16.9,0.7,4.3,8.0,24.1,,BYE,1.3,4.9,17.0,25.2,10.0,10.1,9.5,6.8,,9.5,142.3
87,Tetairoa McMillan   CAR,WR,17,6.8,10.0,4.8,6.2,7.3,14.9,3.3,9.9,4.6,6.0,25.0,9.5,10.3,BYE,2.5,13.3,0.5,6.5,8.3,141.4
88,Eddy Pineiro   SF,K,14,,10.0,12.0,7.0,17.0,18.0,11.0,1.0,12.0,2.0,14.0,,,BYE,14.0,12.0,6.0,4.0,10.0,140.0
89,Joe Burrow   CIN,QB,8,8.8,7.0,,,,,,,,BYE,,,19.2,25.4,7.5,29.0,20.4,22.1,17.4,139.5
90,J.J. McCarthy   MIN,QB,10,23.2,4.8,,,,BYE,,,19.9,16.7,8.0,2.5,,20.4,24.5,9.3,,8.0,13.7,137.4
91,Alec Pierce   IND,WR,15,3.6,6.8,6.7,,,4.8,9.8,6.9,11.5,14.4,BYE,2.6,13.8,8.0,1.6,20.6,0.0,25.2,9.1,136.3
